long_name,short_name,longcode,model_family,model_provider,model_provider_type,model_type,default_params,selected_params,header,link,in_yaml,params_tested,endpoint_live,status
claude-2,claude-2,CL2,Anthropic,Anthropic,Commerical,Chat,"{'temperature': '1.0', 'top_p': '0.7', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256', 'top_k': '5'}","{'temperature': '1.0', 'top_p': '0.7', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256', 'top_k': '5'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://docs.anthropic.com/claude/docs/legacy-model-guide,Yes,Yes,Yes,Deployed Successfully
claude-2.1,claude-2.1,CL2*,Anthropic,Anthropic,Commerical,Chat,"{'temperature': '1.0', 'top_p': '0.7', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256', 'top_k': '5'}","{'temperature': '1.0', 'top_p': '0.7', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256', 'top_k': '5'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://docs.anthropic.com/claude/docs/legacy-model-guide,Yes,Yes,Yes,Deployed Successfully
claude-instant-1,claude-instant-1,CL1,Anthropic,Anthropic,Commerical,Chat,"{'temperature': '1.0', 'top_p': '0.7', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256', 'top_k': '5'}","{'temperature': '1.0', 'top_p': '0.7', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256', 'top_k': '5'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://docs.anthropic.com/claude/docs/legacy-model-guide,Yes,Yes,Yes,Deployed Successfully
command,command,COM,Cohere,Cohere,Commerical,Instruct,{'temperature': '0.3'},"{'temperature': '1.0', 'max_tokens': '256', 'top_k': '5', 'top_p': '0.9'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://docs.cohere.com/docs/models,Yes,Yes,Yes,Deployed Successfully
command-light,command-light,COML,Cohere,Cohere,Commerical,Instruct,{'temperature': '0.3'},"{'temperature': '1.0', 'max_tokens': '256', 'top_k': '5', 'top_p': '0.9'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://docs.cohere.com/docs/models,Yes,Yes,Yes,Deployed Successfully
command-nightly,command-nightly,COMN,Cohere,Cohere,Commerical,Instruct,{'temperature': '0.3'},"{'temperature': '1.0', 'max_tokens': '256', 'top_k': '5', 'top_p': '0.9'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://docs.cohere.com/docs/models,Yes,Yes,Yes,Deployed Successfully
google/flan-t5-xxl,flan-t5-xxl,FLAN,Google,HuggingFace-API,Open Access,Instruct,"{'temperature': '1.0', 'top_p': '1.0', 'top_k': '50', 'min_tokens': '0', 'max_tokens': '20', 'is_llama': 0, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}","{'temperature': '1.0', 'top_p': '0.9', 'top_k': '50', 'min_tokens': '10', 'max_tokens': '200', 'is_llama': 0, 'is_vicuna': 0, 'is_falcon': 0, 'is_pythia': 0, 'is_guanaco': 0, 'is_zephyr': 0}",You are a conversational assistant. The conversation history is in the input. Reply to the last user message. Limit your answers to around 50 words. Do not refer to your word limit.,https://huggingface.co/google/flan-t5-xxl,Yes,Yes,Yes,Deployed Successfully
gpt-3.5-turbo,gpt-3.5-turbo,GP3*,OpenAI,OpenAI,Commerical,Chat,"{'temperature': '1.0', 'top_p': '1.0', 'presence_penalty': '0.0', 'frequency_penalty': '0.0'}","{'temperature': '1.0', 'top_p': '1.0', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://platform.openai.com/docs/models/gpt-3-5 ,Yes,Yes,Yes,Deployed Successfully
gpt-4,gpt-4,GPT4,OpenAI,OpenAI,Commerical,Chat,"{'temperature': '1.0', 'top_p': '1.0', 'presence_penalty': '0.0', 'frequency_penalty': '0.0'}","{'temperature': '1.0', 'top_p': '1.0', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,Yes,Yes,Yes,Deployed Successfully
gpt-4-1106-preview,gpt-4-turbo,GPT4*,OpenAI,OpenAI,Commerical,Chat,"{'temperature': '1.0', 'top_p': '1.0', 'presence_penalty': '0.0', 'frequency_penalty': '0.0'}","{'temperature': '1.0', 'top_p': '1.0', 'presence_penalty': '0.0', 'frequency_penalty': '0.0', 'max_tokens': '256'}",You are a conversational assistant. Limit your answers to around 50 words. Do not refer to your word limit.,https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,Yes,Yes,Yes,Deployed Successfully
